"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","408","Cadastro bem-sucedido mesmo com outros usuários possuindo o mesmo cartão","","Mon Aug 04 14:55:00 BRT 2025","passed","Mon Aug 04 14:55:00 BRT 2025","","[CARTÕES] DIS Cadastrar cartão físico","",""
"","417","Token não informado","","Mon Aug 04 14:55:07 BRT 2025","passed","Mon Aug 04 14:55:07 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","566","Listar QR Codes por ID do cartão virtual","","Mon Aug 04 14:56:25 BRT 2025","passed","Mon Aug 04 14:56:26 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","514","Tentar listar QR Codes com token de autenticação inválido","","Mon Aug 04 14:56:33 BRT 2025","passed","Mon Aug 04 14:56:34 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","397","Consultar saldo de cartão inexistente","","Mon Aug 04 14:55:20 BRT 2025","passed","Mon Aug 04 14:55:20 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","565","idCartao pertence a outro usuário","","Mon Aug 04 14:55:41 BRT 2025","passed","Mon Aug 04 14:55:42 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","498","Tentar consultar extrato de cartão não vinculado ao usuário","","Mon Aug 04 14:55:30 BRT 2025","passed","Mon Aug 04 14:55:31 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","693","Cartão virtual inativo não deve retornar QR Code","","Mon Aug 04 14:55:43 BRT 2025","failed","Mon Aug 04 14:55:43 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","671","Consultar extrato de cartão de transporte de um usuário","","Mon Aug 04 14:55:32 BRT 2025","passed","Mon Aug 04 14:55:32 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","521","Cartão virtual já existente vinculado ao usuário (tentativa de duplicação)","","Mon Aug 04 14:55:10 BRT 2025","passed","Mon Aug 04 14:55:11 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","823","Consulta de dados com sucesso","","Mon Aug 04 14:56:54 BRT 2025","passed","Mon Aug 04 14:56:55 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","989","Erro ao Listar Cartões Físicos","","Mon Aug 04 14:55:52 BRT 2025","failed","Mon Aug 04 14:55:53 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","472","Cadastro realizado com sucesso","","Mon Aug 04 14:55:06 BRT 2025","passed","Mon Aug 04 14:55:06 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","801","Tentar listar QR Codes sem token de autenticação","","Mon Aug 04 14:56:32 BRT 2025","passed","Mon Aug 04 14:56:32 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","756","Tentar consultar extrato com token inválido","","Mon Aug 04 14:55:29 BRT 2025","passed","Mon Aug 04 14:55:30 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","412","idCartao informado não existe na base de dados","","Mon Aug 04 14:55:40 BRT 2025","passed","Mon Aug 04 14:55:40 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","398","Requisição com token inválido","","Mon Aug 04 14:55:39 BRT 2025","passed","Mon Aug 04 14:55:39 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
